Line  OP   L  M
   0  JMP  0  25
   1  JMP  0   2
   2  INC  0   5
   3  LOD  1   5
   4  STO  0   4
   5  LOD  1   5
   6  LIT  0   1
   7  OPR  0   3
   8  STO  1   5
   9  LOD  1   5
  10  LIT  0   0
  11  OPR  0   8
  12  JPC  0  15
  13  LIT  0   1
  14  STO  1   4
  15  LOD  1   5
  16  LIT  0   0
  17  OPR  0  12
  18  JPC  0  20
  19  CAL  1   1
  20  LOD  1   4
  21  LOD  0   4
  22  OPR  0   4
  23  STO  1   4
  24  OPR  0   0
  25  INC  0   6
  26  SIO  0   1
  27  STO  0   5
  28  CAL  0   1
  29  LOD  0   4
  30  SIO  0   0
  31  SIO  0   2


                   pc  bp  sp  stack
Initial values      0   1   0
   0  JMP  0  25   25   1   0  
  25  INC  0   6   26   1   6  0 0 0 0 0 0 
  26  SIO  0   1   27   1   7  0 0 0 0 0 0 2 
  27  STO  0   5   28   1   6  0 0 0 0 0 2 
  28  CAL  0   1    1   7   6  0 0 0 0 0 2 
   1  JMP  0   2    2   7   6  0 0 0 0 0 2 
   2  INC  0   5    3   7  11  0 0 0 0 0 2 | 0 1 1 29 0 
   3  LOD  1   5    4   7  12  0 0 0 0 0 2 | 0 1 1 29 0 2 
   4  STO  0   4    5   7  11  0 0 0 0 0 2 | 0 1 1 29 2 
   5  LOD  1   5    6   7  12  0 0 0 0 0 2 | 0 1 1 29 2 2 
   6  LIT  0   1    7   7  13  0 0 0 0 0 2 | 0 1 1 29 2 2 1 
   7  OPR  0   3    8   7  12  0 0 0 0 0 2 | 0 1 1 29 2 1 
   8  STO  1   5    9   7  11  0 0 0 0 0 1 | 0 1 1 29 2 
   9  LOD  1   5   10   7  12  0 0 0 0 0 1 | 0 1 1 29 2 1 
  10  LIT  0   0   11   7  13  0 0 0 0 0 1 | 0 1 1 29 2 1 0 
  11  OPR  0   8   12   7  12  0 0 0 0 0 1 | 0 1 1 29 2 0 
  12  JPC  0  15   15   7  11  0 0 0 0 0 1 | 0 1 1 29 2 
  15  LOD  1   5   16   7  12  0 0 0 0 0 1 | 0 1 1 29 2 1 
  16  LIT  0   0   17   7  13  0 0 0 0 0 1 | 0 1 1 29 2 1 0 
  17  OPR  0  12   18   7  12  0 0 0 0 0 1 | 0 1 1 29 2 1 
  18  JPC  0  20   19   7  11  0 0 0 0 0 1 | 0 1 1 29 2 
  19  CAL  1   1    1  12  11  0 0 0 0 0 1 | 0 1 1 29 2 
   1  JMP  0   2    2  12  11  0 0 0 0 0 1 | 0 1 1 29 2 
   2  INC  0   5    3  12  16  0 0 0 0 0 1 | 0 1 1 29 2 | 0 1 7 20 0 
   3  LOD  2   5    4  12  17  0 0 0 0 0 1 | 0 1 1 29 2 | 0 1 7 20 0 1 
   4  STO  0   4    5  12  16  0 0 0 0 0 1 | 0 1 1 29 2 | 0 1 7 20 1 
   5  LOD  2   5    6  12  17  0 0 0 0 0 1 | 0 1 1 29 2 | 0 1 7 20 1 1 
   6  LIT  0   1    7  12  18  0 0 0 0 0 1 | 0 1 1 29 2 | 0 1 7 20 1 1 1 
   7  OPR  0   3    8  12  17  0 0 0 0 0 1 | 0 1 1 29 2 | 0 1 7 20 1 0 
   8  STO  2   5    9  12  16  0 0 0 0 0 0 | 0 1 1 29 2 | 0 1 7 20 1 
   9  LOD  2   5   10  12  17  0 0 0 0 0 0 | 0 1 1 29 2 | 0 1 7 20 1 0 
  10  LIT  0   0   11  12  18  0 0 0 0 0 0 | 0 1 1 29 2 | 0 1 7 20 1 0 0 
  11  OPR  0   8   12  12  17  0 0 0 0 0 0 | 0 1 1 29 2 | 0 1 7 20 1 1 
  12  JPC  0  15   13  12  16  0 0 0 0 0 0 | 0 1 1 29 2 | 0 1 7 20 1 
  13  LIT  0   1   14  12  17  0 0 0 0 0 0 | 0 1 1 29 2 | 0 1 7 20 1 1 
  14  STO  2   4   15  12  16  0 0 0 0 1 0 | 0 1 1 29 2 | 0 1 7 20 1 
  15  LOD  2   5   16  12  17  0 0 0 0 1 0 | 0 1 1 29 2 | 0 1 7 20 1 0 
  16  LIT  0   0   17  12  18  0 0 0 0 1 0 | 0 1 1 29 2 | 0 1 7 20 1 0 0 
  17  OPR  0  12   18  12  17  0 0 0 0 1 0 | 0 1 1 29 2 | 0 1 7 20 1 0 
  18  JPC  0  20   20  12  16  0 0 0 0 1 0 | 0 1 1 29 2 | 0 1 7 20 1 
  20  LOD  2   4   21  12  17  0 0 0 0 1 0 | 0 1 1 29 2 | 0 1 7 20 1 1 
  21  LOD  0   4   22  12  18  0 0 0 0 1 0 | 0 1 1 29 2 | 0 1 7 20 1 1 1 
  22  OPR  0   4   23  12  17  0 0 0 0 1 0 | 0 1 1 29 2 | 0 1 7 20 1 1 
  23  STO  2   4   24  12  16  0 0 0 0 1 0 | 0 1 1 29 2 | 0 1 7 20 1 
  24  OPR  0   0   20   7  11  0 0 0 0 1 0 | 0 1 1 29 2 
  20  LOD  1   4   21   7  12  0 0 0 0 1 0 | 0 1 1 29 2 1 
  21  LOD  0   4   22   7  13  0 0 0 0 1 0 | 0 1 1 29 2 1 2 
  22  OPR  0   4   23   7  12  0 0 0 0 1 0 | 0 1 1 29 2 2 
  23  STO  1   4   24   7  11  0 0 0 0 2 0 | 0 1 1 29 2 
  24  OPR  0   0   29   1   6  0 0 0 0 2 0 
  29  LOD  0   4   30   1   7  0 0 0 0 2 0 2 
  30  SIO  0   0   31   1   6  0 0 0 0 2 0 
